2370,118500,-9056.61,-2868.62,0.00
2380,119000,-9938.66,-3162.35,0.00
2390,119500,-8721.23,-2756.69,0.00
2400,120000,-10388.75,-3312.92,0.00
2410,120500,-10135.09,-3227.70,0.00
2420,121000,-9543.33,-3031.03,0.00
2430,121500,-10298.71,-3282.19,0.00
2440,122000,-9713.29,-3086.74,0.00
2450,122500,-10138.01,-3227.47,0.00
2460,123000,-9656.62,-3068.78,0.00
2470,123500,-9836.27,-3127.73,0.00
2480,124000,-10343.08,-3296.46,0.00
2490,124500,-10205.69,-3250.30,0.00
2500,125000,-10110.97,-3219.42,0.00
2510,125500,-9596.98,-3047.63,0.00
2520,126000,-11047.23,-3531.90,0.00
2530,126500,-10482.09,-3343.97,0.00
2540,127000,-9378.81,-2975.17,0.00
2550,127500,-10189.13,-3246.35,0.00
2560,128000,-10128.67,-3225.59,0.00
2570,128500,-9217.09,-2921.75,0.00
2580,129000,-9691.83,-3080.52,0.00
2590,129500,-10939.47,-3496.38,0.00
2600,130000,-10333.72,-3293.91,0.00
2610,130500,-9515.03,-3021.28,0.00
2620,131000,-10113.02,-3220.75,0.00
2630,131500,-9454.24,-3001.34,0.00
2640,132000,-9523.07,-3024.31,0.00
2650,132500,-9714.36,-3088.12,0.00
2660,133000,-9217.23,-2921.46,0.00
2670,133500,-10001.83,-3183.65,0.00
2680,134000,-9747.71,-3098.64,0.00
2690,134500,-9859.45,-3136.05,0.00
2700,135000,-10449.27,-3331.63,0.00
2710,135500,-9762.84,-3103.41,0.00
2720,136000,-10134.43,-3226.88,0.00
2730,136500,-9347.28,-2965.13,0.00
2740,137000,-9797.38,-3112.06,0.00
2750,137500,-10949.14,-3499.25,0.00
2760,138000,-10417.63,-3321.78,0.00
2770,138500,-9183.48,-2910.03,0.00
2780,139000,-10899.49,-3481.72,0.00
2790,139500,-10578.57,-3376.08,0.00
2800,140000,-9779.62,-3109.41,0.00
2810,140500,-9905.64,-3151.42,0.00
2820,141000,-10394.14,-3314.68,0.00
2830,141500,-9202.80,-2916.87,0.00
2840,142000,-9684.91,-3077.65,0.00
2850,142500,-9568.98,-3039.21,0.00
2860,143000,-10885.68,-3478.42,0.00
2870,143500,-10914.10,-3486.60,0.00
2880,144000,-9629.21,-3059.38,0.00
2890,144500,-9646.21,-3065.20,0.00
2900,145000,-10589.85,-3379.95,0.00
2910,145500,-9344.68,-2964.19,0.00
2920,146000,-9469.07,-3006.14,0.00
2930,146500,-9133.59,-2893.89,0.00
2940,147000,-9734.37,-3094.29,0.00
2950,147500,-9726.54,-3092.12,0.00
2960,148000,-9147.17,-2898.85,0.00
2970,148500,-9974.20,-3174.58,0.00
2980,149000,-9401.46,-2983.18,0.00
2990,149500,-11050.09,-3532.29,0.00
3000,150000,-9836.67,-3128.61,0.00
3010,150500,-9837.80,-3128.55,0.00
3020,151000,-9694.91,-3080.97,0.00
3030,151500,-9875.17,-3141.05,0.00
3040,152000,-11220.83,-3589.84,0.00
3050,152500,-10210.69,-3252.87,0.00
3060,153000,-9982.10,-3177.07,0.00
3070,153500,-9689.79,-3079.88,0.00
3080,154000,-9298.36,-2948.96,0.00
3090,154500,-9649.08,-3065.72,0.00
3100,155000,-10192.18,-3244.52,0.00
3110,155500,-9733.54,-3094.05,0.00
3120,156000,-10059.98,-3203.30,0.00
3130,156500,-9824.61,-3124.39,0.00
3140,157000,-10175.71,-3241.45,0.00
3150,157500,-10013.99,-3186.85,0.00
3160,158000,-9727.23,-3092.06,0.00
3170,158500,-9797.48,-3115.80,0.00
3180,159000,-9678.23,-3075.27,0.00
